essay_set,model,rating_trait,n_targets,n_raters,icc_c_single,icc_c_average,icc_a_single,icc_a_average,ms_rows,ms_cols,ms_error,boot_n,icc_c_single_ci_low,icc_c_single_ci_high,icc_c_average_ci_low,icc_c_average_ci_high,icc_a_single_ci_low,icc_a_single_ci_high,icc_a_average_ci_low,icc_a_average_ci_high
all_essays,GPT-5,Machiavellianism,438,4,0.9311649084377767,0.9818544385727234,0.9310738370134867,0.9818291226109791,2.397689988819577,0.07058599695586022,0.04350743097569216,2000,0.9108529000136611,0.9476532178824539,0.9761163568476399,0.9863785241214705,0.9106148045507331,0.9473596903283493,0.9760479842471764,0.9862990039479061
all_essays,GPT-5,Narcissism,438,4,0.9066303453637605,0.9748998952575909,0.9065156148781994,0.9748667273120513,1.6123541059318933,0.064497716894978,0.04047025694074376,2000,0.876694260149548,0.9296921937054441,0.9660322509690678,0.981444606623502,0.8762966010989324,0.9295503881294396,0.9659115010860483,0.9814050940571338
all_essays,GPT-5,Psychopathy,438,4,0.917505489679403,0.9780162163174355,0.9176373815057064,0.9780536779645581,2.046027815220004,0.010654490106544937,0.04497943289830674,2000,0.8927484043679863,0.9388615369956548,0.9708416405321335,0.9839808443317355,0.8927371401077331,0.9387586023800532,0.9708383102140941,0.9839525755087438
all_essays,GPT-OSS-120B,Machiavellianism,222,4,0.7672870995009776,0.9295206916763783,0.7648806134765733,0.9286358281382234,1.7183818433818434,0.4846096096096099,0.12111036375742248,2000,0.6742772046012839,0.830052248558616,0.8922458021989678,0.9513065552306356,0.6704755638175357,0.8275562295452854,0.8905753085711134,0.9504851635008367
all_essays,GPT-OSS-120B,Narcissism,222,4,0.5632677470270483,0.837634126428738,0.5639699242216027,0.8380220317166288,0.9320451673392851,0.0555555555555553,0.15133232780291603,2000,0.4616697068810282,0.6480507623740916,0.7742858545644211,0.8804582020833532,0.46157236623219083,0.6479441427192825,0.7742173928758032,0.8804090022539012
all_essays,GPT-OSS-120B,Psychopathy,222,4,0.4036655931715236,0.7302870757869657,0.4038009229914983,0.7303977885109639,0.7171589009824304,0.16929429429429432,0.19342702430937725,2000,0.3115553773341151,0.49417218477233615,0.6441532647741249,0.7962439157652573,0.3110031768003853,0.49415828777500886,0.643562624156838,0.7962349106660995
all_essays,Grok-4,Machiavellianism,437,4,0.8338006755757479,0.9525334928249874,0.8338442485799054,0.9525477088220138,3.1064624315075684,0.12719298245614122,0.14745292129406085,2000,0.7999429481239644,0.8628592308462276,0.9411567284230207,0.9617840876053926,0.7997985756279277,0.8627956753190105,0.9411067611840325,0.9617643460171093
all_essays,Grok-4,Narcissism,437,4,0.7636814372681507,0.9281934424631683,0.763920142178456,0.9282815796925957,2.0821384334390025,0.06311975591151793,0.14951119322038653,2000,0.7228631793027331,0.7995646971218202,0.9125362184790493,0.941025788879263,0.7229729103814584,0.7992273892101003,0.9125799310057908,0.9409089481931616
all_essays,Grok-4,Psychopathy,437,4,0.7535299053679783,0.924409350426791,0.7533374605396509,0.9243369317088747,1.764076375621943,0.19374523264683485,0.133347679130015,2000,0.706045296330489,0.7919831743037672,0.9057274236459528,0.9383827203899904,0.7055032636108445,0.7912199460305618,0.9055043121454477,0.9381146695294547
all_essays,LLaMA-3,Machiavellianism,438,4,0.6485262459901457,0.8806775220505473,0.6486698459440415,0.8807437146607165,1.2397012110383165,0.10711567732115547,0.1479242204180294,2000,0.5827633589845943,0.7057974963457034,0.8481831868714693,0.9056254504582167,0.5822054017964376,0.7059438036686424,0.8478875215816785,0.9056856649004771
all_essays,LLaMA-3,Narcissism,438,4,0.5061166560364988,0.8038861356770619,0.5044528569874059,0.8028346815540617,1.526514320345235,1.1750380517503807,0.2993706223072074,2000,0.4465814177089963,0.5671176350341003,0.7634704811868527,0.839753492477131,0.4436342857421355,0.5647642053923064,0.7613089195319749,0.8384600868856035
all_essays,LLaMA-3,Psychopathy,438,4,0.47322503470781413,0.7822951666550222,0.47354525834448336,0.7825138556219835,1.0281874653877099,0.09798325722983263,0.22384138079962654,2000,0.4025326591229412,0.5341243205406055,0.7293586299960875,0.8209804333054561,0.4021016340278171,0.5340470722944215,0.7290046512493935,0.8209348037115222
target_trait_essays,GPT-5,Machiavellianism,146,4,0.9578939474892905,0.9891302243645584,0.9578670116041466,0.9891230439022501,3.253471894189891,0.03881278538812757,0.035364509526059025,2000,0.935108925045287,0.9750028147639219,0.9829473055032287,0.9936313040211363,0.9345143822307383,0.9748755073137806,0.9827829959427477,0.993598246201942
target_trait_essays,GPT-5,Narcissism,146,4,0.959790125943618,0.9896349484220001,0.9596704582510118,0.9896031390855212,3.1840340103920646,0.04794520547945155,0.033002676743819875,2000,0.9392147864297006,0.9764255215526407,0.9840778218582888,0.9940003005485614,0.9386710438999959,0.9761383193092843,0.9839285258715726,0.9939258756978578
target_trait_essays,GPT-5,Psychopathy,146,4,0.955235729468104,0.9884201600508771,0.955431469480802,0.9884725461098155,3.565233821445442,0.013698630136986115,0.04128483703353829,2000,0.9266796438590529,0.9748012245217393,0.9806032796521069,0.9935789542548082,0.9266122892507651,0.9747490929809972,0.9805844237934288,0.9935654138708392
target_trait_essays,GPT-OSS-120B,Machiavellianism,76,4,0.8622864469626086,0.9616060904681855,0.8600214288183042,0.9609005425653107,3.026491228070175,0.28508771929824517,0.11619883040935686,2000,0.7627513826973842,0.9163577421124541,0.9278496708297889,0.9776898820709645,0.7554750450996313,0.9144435602944118,0.9251398869334996,0.9771443005026363
target_trait_essays,GPT-OSS-120B,Narcissism,67,4,0.6979528775589028,0.9023720349563045,0.7006048387096772,0.9034774130646732,1.509497964721845,0.023631840796019845,0.14736921453339372,2000,0.5242796144590851,0.8031656908548793,0.8150990338220837,0.942268808772129,0.5234073142686672,0.8021222985309786,0.814571387566114,0.9419094560462965
target_trait_essays,GPT-OSS-120B,Psychopathy,79,4,0.41409424989191523,0.7387012185716489,0.4151352288488211,0.739528239972204,0.7013956507627394,0.12130801687763713,0.18327382884344914,2000,0.28460293055710706,0.5283030366423792,0.6140933875345677,0.8175189364923094,0.28277911502364544,0.5264384502657328,0.6119642721802443,0.8164002893573699
target_trait_essays,Grok-4,Machiavellianism,146,4,0.8915239269221571,0.9704792613807054,0.8915129920704522,0.9704760219902733,4.717146905999055,0.14155251141552563,0.13925366084081248,2000,0.8518468440303875,0.9229466416702338,0.9583317485594742,0.9795551522460417,0.8506624969244193,0.9226812697140772,0.9579566359478902,0.9794804053762732
target_trait_essays,Grok-4,Narcissism,145,4,0.8685108803868582,0.9635312912960297,0.8690671031096562,0.9637023593466425,3.6423132183908047,0.03908045977011502,0.13283045977011496,2000,0.8214642794855427,0.9033871677445271,0.9484655091101426,0.9739599388935057,0.8214324250983216,0.9030646263452824,0.9484548926601472,0.9738661883530778
target_trait_essays,Grok-4,Psychopathy,146,4,0.8607066872470902,0.9611142813886592,0.8608503358784995,0.9611590557050184,3.042052432687765,0.09760273972602722,0.11829239489844119,2000,0.80516811323894,0.9000313953978852,0.9429566262776815,0.9729821459206563,0.8046847162521379,0.8995346871736443,0.9427908064808569,0.9728369641559872
target_trait_essays,LLaMA-3,Machiavellianism,146,4,0.6925196297855679,0.9000895250850248,0.69258101928802,0.9001154498825099,1.6400684931506848,0.15696347031963495,0.16386002204377279,2000,0.5988923018533496,0.7732208246475079,0.8565770284990227,0.9316860742844649,0.5957568159648499,0.7734056275371648,0.8549680793414564,0.9317531399429834
target_trait_essays,LLaMA-3,Narcissism,146,4,0.508191870331117,0.805191760735037,0.5049412865946225,0.803143782225796,1.645595181861124,0.9332191780821936,0.3205754999212722,2000,0.4133287333012444,0.5979098152968483,0.7380915643488958,0.8560740424215199,0.4066162423934629,0.5932753592682309,0.7326917903260921,0.8536870179417482
target_trait_essays,LLaMA-3,Psychopathy,146,4,0.5489236877320782,0.8295748663191129,0.5489431470731597,0.829585977130803,1.1756376948512044,0.19805936073059327,0.20035821130530634,2000,0.4047401670587566,0.663541666935063,0.7311650610007036,0.8874956459102868,0.40105106705348637,0.6640064378163175,0.7281401343882205,0.8877034104050318
